My Account Log In
IP2Location LITE
Home
Free Databases
IP Addresses
Free Plugins
FAQs
Contact
Home United States IP Address Ranges
United States IP Address Ranges
United States has a total of 1,571,238,096 IP address assigned. Below are all IP address ranges in United States.

Data Sources:
i. You can download the complete free data in CSV format from IP2Location LITE DB1.
ii. You can also download the list in firewall format from IP2Location Firewall List.

Begin IP Address	End IP Address	Total Count
4.68.111.179	4.68.111.180	2
4.68.111.182	4.68.111.185	4
4.68.111.187	4.68.111.188	2
4.68.111.191	4.68.111.192	2
4.68.111.195	4.68.111.196	2
4.68.111.199	4.68.111.200	2
4.68.111.203	4.68.111.233	31
4.68.111.235	4.68.111.253	19
4.68.111.255	4.68.112.109	111
4.68.112.111	4.68.112.125	15
4.68.112.127	4.68.115.205	847
4.68.115.207	4.68.115.209	3
4.68.115.211	4.68.115.213	3
4.68.115.215	4.68.115.217	3
4.68.115.219	4.68.115.220	2
4.68.115.223	4.68.115.224	2
4.68.115.227	4.68.116.0	30
4.68.116.2	4.68.116.33	32
4.68.116.35	4.68.116.64	30
4.68.116.66	4.68.116.84	19
4.68.116.86	4.68.116.97	12
4.68.116.99	4.68.116.116	18
4.68.116.118	4.68.116.128	11
4.68.116.130	4.68.116.148	19
4.68.116.150	4.68.116.161	12
4.68.116.163	4.68.116.180	18
4.68.116.182	4.68.117.18	93
4.68.117.21	4.68.117.50	30
4.68.117.53	4.68.117.82	30
4.68.117.85	4.68.117.114	30
4.68.117.117	4.68.117.146	30
4.68.117.149	4.68.117.178	30
4.68.117.181	4.68.119.0	332
4.68.119.2	4.68.119.25	24
4.68.119.27	4.68.119.33	7
4.68.119.35	4.68.119.57	23
4.68.119.59	4.68.119.64	6
4.68.119.66	4.68.119.97	32
4.68.119.99	4.68.119.128	30
4.68.119.130	4.68.119.161	32
4.68.119.163	4.68.125.201	1,575
4.68.125.203	4.68.125.205	3
4.68.125.207	4.68.125.208	2
4.68.125.211	4.68.125.212	2
4.68.125.215	4.68.125.233	19
4.68.125.235	4.68.125.236	2
4.68.125.239	4.68.125.241	3
4.68.125.243	4.68.127.24	294
4.68.127.26	4.68.127.32	7
4.68.127.34	4.68.127.48	15
4.68.127.51	4.68.127.96	46
4.68.127.99	4.68.127.169	71
4.68.127.171	4.68.127.196	26
4.68.127.199	4.68.127.216	18
